hospital,date,ed_trolleys,ward_trolleys,total_trolleys,surge_open,delayed_transfers,over_24hrs_on_trolleys,over_75yrs_over_24hrs
St. James's Hospital,,14,0,15,0,0,0,0
St. Luke's Radiation Oncology Network,,16,8,24,28,24,0,0
Tallaght University Hospital,,16,8,24,28,24,7,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,7,0,7,10,0,0,0
St Luke's General Hospital Kilkenny,,7,0,7,10,11,0,0
St. Michael's Hospital,,30,4,34,54,34,0,0
St. Vincent's University Hospital,,30,4,34,54,34,5,9
Tipperary University Hospital,,9,0,9,2,9,0,0
UH Waterford,,0,0,0,7,18,0,11
Wexford General Hospital,,11,7,18,24,18,1,0
Bantry General Hospital,,8,7,24,0,0,0,0
Cork University Hospital,,8,7,24,26,26,0,0
Mallow General Hospital,,4,7,4,11,4,0,0
Mercy University Hospital,,7,4,11,7,11,0,0
South Infirmary Victoria University Hospital,,14,0,14,8,14,0,0
UH Kerry,,14,0,14,8,14,3,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,27,48,75,51,75,0,0
UH Limerick,,27,48,75,51,75,0,0
Galway University Hospital,,9,6,20,35,35,0,5
Letterkenny University Hospital,,5,6,8,27,27,0,11
Mayo University Hospital,,11,16,27,15,27,9,0
Portiuncula University Hospital,,2,0,2,0,0,0,0
Roscommon University Hospital,,14,13,27,9,27,0,0
Sligo University Hospital,,14,13,27,9,27,3,0
Beaumont Hospital,,25,0,25,14,25,0,3
Cavan General Hospital,,3,0,3,7,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,30,0,30,13,30,0,0
Mater Misericordiae University Hospital,,30,0,30,13,30,0,0
National Orthopaedic Hospital Cappagh,,16,0,29,0,0,0,0
Our Lady of Lourdes Hospital,,16,0,29,0,0,0,0
Our Lady's Hospital Navan,,0,0,0,7,0,0,0
CHI at Crumlin,,4,0,0,4,4,0,2
CHI at Tallaght,,2,0,0,0,0,0,0
CHI at Temple Street,,0,0,0,0,0,0,3
MRH Mullingar,,3,0,3,15,2,0,0
MRH Portlaoise,,0,0,0,3,0,0,0
MRH Tullamore,,0,0,0,23,7,0,0
Naas General Hospital,,10,3,13,12,13,3,0
St. James's Hospital,,14,0,12,0,0,0,0
St. Luke's Radiation Oncology Network,,10,0,10,25,0,0,0
Tallaght University Hospital,,10,0,10,25,24,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,6,0,6,10,0,0,0
St Luke's General Hospital Kilkenny,,6,0,6,10,9,0,0
St. Michael's Hospital,,20,4,24,39,24,0,0
St. Vincent's University Hospital,,20,4,24,39,24,1,14
Tipperary University Hospital,,14,3,17,0,17,1,0
UH Waterford,,0,0,0,4,15,0,6
Wexford General Hospital,,6,9,15,29,15,4,0
Bantry General Hospital,,0,8,8,22,0,0,0
Cork University Hospital,,0,8,8,22,24,0,0
Mallow General Hospital,,4,12,4,16,4,0,0
Mercy University Hospital,,12,4,16,7,16,2,0
South Infirmary Victoria University Hospital,,8,0,8,0,0,0,0
UH Kerry,,8,0,8,27,27,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,23,36,59,50,59,0,0
UH Limerick,,23,36,59,50,59,0,0
Galway University Hospital,,10,4,21,37,37,0,14
Letterkenny University Hospital,,14,6,20,7,20,4,0
Mayo University Hospital,,3,9,12,8,12,0,4
Portiuncula University Hospital,,4,0,3,0,0,0,0
Roscommon University Hospital,,5,20,15,35,5,0,0
Sligo University Hospital,,20,15,35,10,35,5,0
Beaumont Hospital,,7,0,7,13,0,0,8
Cavan General Hospital,,8,0,4,0,0,1,0
Connolly Hospital,,1,0,1,0,0,0,0
Louth County Hospital,,14,0,11,0,0,0,0
Mater Misericordiae University Hospital,,14,0,11,0,0,0,0
National Orthopaedic Hospital Cappagh,,14,0,29,0,0,0,0
Our Lady of Lourdes Hospital,,14,0,29,0,0,0,0
Our Lady's Hospital Navan,,0,0,0,7,0,0,0
CHI at Crumlin,,2,0,0,4,4,0,0
CHI at Tallaght,,0,0,0,0,0,0,3
CHI at Temple Street,,3,0,3,2,0,0,2
MRH Mullingar,,2,0,2,17,0,0,0
MRH Portlaoise,,0,0,0,4,0,0,0
MRH Tullamore,,0,0,0,21,7,0,0
Naas General Hospital,,6,4,10,10,10,1,0
St. James's Hospital,,10,0,10,15,0,0,0
St. Luke's Radiation Oncology Network,,15,6,21,24,21,0,0
Tallaght University Hospital,,15,6,21,24,21,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,0,0,0,10,0,0,0
St Luke's General Hospital Kilkenny,,0,0,0,10,10,0,0
St. Michael's Hospital,,9,0,9,39,0,0,0
St. Vincent's University Hospital,,9,0,9,39,10,0,7
Tipperary University Hospital,,7,3,10,0,10,4,0
UH Waterford,,0,0,0,0,12,0,4
Wexford General Hospital,,4,8,12,30,12,0,0
Bantry General Hospital,,9,6,23,0,0,0,0
Cork University Hospital,,9,6,23,0,0,0,0
Mallow General Hospital,,4,7,4,11,4,0,0
Mercy University Hospital,,7,4,11,8,11,0,0
South Infirmary Victoria University Hospital,,6,0,6,10,0,0,0
UH Kerry,,6,0,6,10,29,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,13,34,47,45,47,0,0
UH Limerick,,13,34,47,45,47,0,0
Galway University Hospital,,16,6,22,20,22,3,0
Letterkenny University Hospital,,6,4,9,24,24,0,5
Mayo University Hospital,,5,12,17,13,17,0,0
Portiuncula University Hospital,,0,0,0,3,0,0,0
Roscommon University Hospital,,15,14,29,12,29,0,0
Sligo University Hospital,,15,14,29,12,29,9,0
Beaumont Hospital,,0,0,0,0,0,0,2
Cavan General Hospital,,2,0,2,6,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,10,0,10,0,0,0,0
Mater Misericordiae University Hospital,,10,0,10,0,0,0,0
National Orthopaedic Hospital Cappagh,,5,0,5,13,0,0,0
Our Lady of Lourdes Hospital,,5,0,5,13,0,0,0
Our Lady's Hospital Navan,,0,0,0,0,0,0,0
CHI at Crumlin,,3,0,0,4,4,0,2
CHI at Tallaght,,2,0,0,2,2,0,8
CHI at Temple Street,,8,0,8,0,8,0,1
MRH Mullingar,,1,0,1,6,0,0,2
MRH Portlaoise,,2,0,2,10,0,0,0
MRH Tullamore,,0,0,0,13,7,0,0
Naas General Hospital,,9,4,13,0,13,0,0
St. James's Hospital,,5,0,5,8,1,1,0
St. Luke's Radiation Oncology Network,,6,0,6,15,0,0,0
Tallaght University Hospital,,6,0,6,15,23,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,5,0,0,0,5,0,0
St Luke's General Hospital Kilkenny,,0,0,0,6,9,0,0
St. Michael's Hospital,,2,0,2,39,0,0,0
St. Vincent's University Hospital,,2,0,2,39,0,0,1
Tipperary University Hospital,,1,0,1,0,9,0,0
UH Waterford,,0,0,0,3,26,0,0
Wexford General Hospital,,3,1,4,22,0,0,0
Bantry General Hospital,,6,0,6,11,0,0,0
Cork University Hospital,,6,0,6,11,0,0,0
Mallow General Hospital,,4,12,2,14,4,0,0
Mercy University Hospital,,12,2,14,8,14,0,0
South Infirmary Victoria University Hospital,,2,0,2,9,0,0,0
UH Kerry,,2,0,2,9,25,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,2,31,33,23,33,0,0
UH Limerick,,2,31,33,23,33,1,0
Galway University Hospital,,5,2,7,22,41,0,0
Letterkenny University Hospital,,2,2,4,0,24,1,0
Mayo University Hospital,,2,4,6,9,0,0,0
Portiuncula University Hospital,,0,0,0,0,0,0,0
Roscommon University Hospital,,6,1,7,9,0,0,0
Sligo University Hospital,,6,1,7,9,24,0,0
Beaumont Hospital,,4,0,4,0,0,0,8
Cavan General Hospital,,8,0,10,0,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,11,0,6,0,0,0,0
Mater Misericordiae University Hospital,,11,0,6,0,0,0,0
National Orthopaedic Hospital Cappagh,,22,0,22,27,22,0,0
Our Lady of Lourdes Hospital,,22,0,22,27,22,0,1
Our Lady's Hospital Navan,,1,0,1,0,0,0,0
CHI at Crumlin,,1,0,1,0,4,0,0
CHI at Tallaght,,0,0,0,0,2,0,0
CHI at Temple Street,,4,0,0,0,0,1,0
MRH Mullingar,,1,0,1,6,0,0,0
MRH Portlaoise,,0,0,0,8,0,0,0
MRH Tullamore,,0,0,0,20,7,0,0
Naas General Hospital,,11,4,15,6,15,0,0
St. James's Hospital,,13,0,0,1,1,0,0
St. Luke's Radiation Oncology Network,,14,0,19,0,0,0,0
Tallaght University Hospital,,14,0,19,23,23,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,5,2,0,2,5,0,0
St Luke's General Hospital Kilkenny,,2,0,2,0,9,0,0
St. Michael's Hospital,,10,0,10,39,0,0,0
St. Vincent's University Hospital,,10,0,10,39,0,0,0
Tipperary University Hospital,,0,0,0,0,9,0,0
UH Waterford,,0,0,0,5,26,0,0
Wexford General Hospital,,0,5,5,32,0,0,0
Bantry General Hospital,,5,2,7,12,0,0,0
Cork University Hospital,,5,2,7,12,0,0,0
Mallow General Hospital,,4,12,3,15,4,0,0
Mercy University Hospital,,12,3,15,7,15,5,2
South Infirmary Victoria University Hospital,,13,0,13,8,13,0,0
UH Kerry,,13,0,13,8,13,2,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,14,37,51,22,51,0,0
UH Limerick,,14,37,51,22,51,3,0
Galway University Hospital,,10,7,17,21,17,1,1
Letterkenny University Hospital,,7,4,0,24,24,0,3
Mayo University Hospital,,3,10,13,12,13,0,7
Portiuncula University Hospital,,7,0,7,0,7,0,0
Roscommon University Hospital,,10,6,16,9,16,0,0
Sligo University Hospital,,10,6,16,9,16,4,0
Beaumont Hospital,,25,0,25,5,25,0,14
Cavan General Hospital,,14,0,14,10,14,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,27,0,27,8,27,0,0
Mater Misericordiae University Hospital,,27,0,27,8,27,0,0
National Orthopaedic Hospital Cappagh,,26,0,26,32,26,0,0
Our Lady of Lourdes Hospital,,26,0,26,32,26,6,5
Our Lady's Hospital Navan,,5,0,11,0,0,0,0
CHI at Crumlin,,0,0,0,0,4,0,0
CHI at Tallaght,,3,0,0,2,2,0,8
CHI at Temple Street,,8,0,8,4,8,0,2
MRH Mullingar,,2,0,2,13,0,0,0
MRH Portlaoise,,0,0,0,7,0,0,0
MRH Tullamore,,0,0,0,26,7,0,0
Naas General Hospital,,20,4,24,15,24,9,6
St. James's Hospital,,25,0,25,14,25,0,0
St. Luke's Radiation Oncology Network,,19,0,19,26,19,0,0
Tallaght University Hospital,,19,0,19,26,19,4,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,5,12,3,15,5,0,0
St Luke's General Hospital Kilkenny,,12,3,15,15,15,0,0
St. Michael's Hospital,,20,0,20,39,20,0,0
St. Vincent's University Hospital,,20,0,20,39,20,1,7
Tipperary University Hospital,,7,0,7,0,7,0,0
UH Waterford,,0,0,0,7,26,0,0
Wexford General Hospital,,10,6,16,37,16,1,0
Bantry General Hospital,,7,4,24,0,0,0,0
Cork University Hospital,,7,4,24,0,0,0,0
Mallow General Hospital,,4,16,5,21,4,0,0
Mercy University Hospital,,16,5,21,8,21,8,2
South Infirmary Victoria University Hospital,,15,0,15,9,15,0,0
UH Kerry,,15,0,15,9,15,3,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,18,41,59,45,59,0,0
UH Limerick,,18,41,59,45,59,0,0
Galway University Hospital,,28,13,41,26,41,8,3
Letterkenny University Hospital,,11,6,17,6,17,3,0
Mayo University Hospital,,13,13,26,14,26,0,8
Portiuncula University Hospital,,8,0,8,3,8,0,0
Roscommon University Hospital,,4,9,13,14,13,0,0
Sligo University Hospital,,4,9,13,14,13,5,0
Beaumont Hospital,,28,0,28,10,28,1,15
Cavan General Hospital,,15,0,15,15,15,0,2
Connolly Hospital,,2,0,2,0,0,0,0
Louth County Hospital,,37,0,37,20,37,0,0
Mater Misericordiae University Hospital,,37,0,37,20,37,0,0
National Orthopaedic Hospital Cappagh,,26,1,27,30,27,0,0
Our Lady of Lourdes Hospital,,26,1,27,30,27,0,7
Our Lady's Hospital Navan,,7,0,7,11,7,0,0
CHI at Crumlin,,9,0,9,0,9,0,0
CHI at Tallaght,,5,0,5,1,5,0,0
CHI at Temple Street,,4,0,0,0,0,3,0
MRH Mullingar,,3,0,3,18,0,0,0
MRH Portlaoise,,0,0,0,0,0,0,0
MRH Tullamore,,0,0,0,34,7,0,0
Naas General Hospital,,16,4,20,14,20,4,1
St. James's Hospital,,22,0,22,24,22,0,0
St. Luke's Radiation Oncology Network,,16,4,20,26,20,0,0
Tallaght University Hospital,,16,4,20,26,20,2,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,5,7,8,15,5,0,0
St Luke's General Hospital Kilkenny,,7,8,15,29,15,2,0
St. Michael's Hospital,,25,0,25,39,25,0,0
St. Vincent's University Hospital,,25,0,25,39,25,2,9
Tipperary University Hospital,,9,3,12,3,12,0,0
UH Waterford,,0,0,0,12,21,0,0
Wexford General Hospital,,9,6,15,36,15,0,0
Bantry General Hospital,,15,8,23,28,23,0,0
Cork University Hospital,,15,8,23,28,23,1,0
Mallow General Hospital,,4,20,4,24,4,0,0
Mercy University Hospital,,20,4,24,7,24,3,0
South Infirmary Victoria University Hospital,,16,0,16,9,16,0,0
UH Kerry,,16,0,16,9,16,3,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,22,44,66,55,66,0,0
UH Limerick,,22,44,66,55,66,1,0
Galway University Hospital,,22,10,32,30,32,6,0
Letterkenny University Hospital,,10,6,16,11,16,2,0
Mayo University Hospital,,5,11,16,14,16,6,0
Portiuncula University Hospital,,1,0,1,0,0,0,0
Roscommon University Hospital,,17,3,20,8,20,0,0
Sligo University Hospital,,17,3,20,8,20,2,0
Beaumont Hospital,,11,0,10,0,14,14,0
Cavan General Hospital,,14,0,14,10,14,1,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,22,0,22,25,22,0,0
Mater Misericordiae University Hospital,,22,0,22,25,22,0,0
National Orthopaedic Hospital Cappagh,,12,0,39,0,0,0,0
Our Lady of Lourdes Hospital,,12,0,39,0,0,2,0
Our Lady's Hospital Navan,,2,0,2,10,0,0,0
CHI at Crumlin,,2,0,0,4,4,0,1
CHI at Tallaght,,1,0,1,0,2,0,0
CHI at Temple Street,,4,0,0,0,0,9,0
MRH Mullingar,,9,0,18,0,0,0,0
MRH Portlaoise,,0,0,0,6,9,0,0
MRH Tullamore,,0,0,0,38,7,0,0
Naas General Hospital,,14,4,18,14,18,4,0
St. James's Hospital,,18,0,18,28,18,0,0
St. Luke's Radiation Oncology Network,,12,4,26,0,0,0,0
Tallaght University Hospital,,12,4,26,23,23,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,5,10,7,17,5,0,0
St Luke's General Hospital Kilkenny,,10,7,17,53,17,5,0
St. Michael's Hospital,,30,10,40,54,40,0,0
St. Vincent's University Hospital,,30,10,40,54,40,9,4
Tipperary University Hospital,,7,3,10,3,10,0,0
UH Waterford,,0,0,0,9,20,0,11
Wexford General Hospital,,11,9,20,37,20,0,0
Bantry General Hospital,,5,15,8,23,5,0,0
Cork University Hospital,,15,8,23,24,23,0,0
Mallow General Hospital,,4,34,4,38,4,0,0
Mercy University Hospital,,34,4,38,7,38,9,5
South Infirmary Victoria University Hospital,,4,0,0,0,4,0,0
UH Kerry,,0,0,0,7,26,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,4,21,39,60,4,0,0
UH Limerick,,21,39,60,50,60,1,0
Galway University Hospital,,11,6,17,21,17,3,0
Letterkenny University Hospital,,2,4,6,8,24,4,0
Mayo University Hospital,,5,12,17,10,17,6,0
Portiuncula University Hospital,,1,0,1,0,0,0,0
Roscommon University Hospital,,8,8,16,9,16,0,0
Sligo University Hospital,,8,8,16,9,16,2,0
Beaumont Hospital,,16,0,6,0,0,4,0
Cavan General Hospital,,4,0,4,8,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,29,0,29,16,29,0,0
Mater Misericordiae University Hospital,,29,0,29,16,29,0,0
National Orthopaedic Hospital Cappagh,,8,0,8,26,0,0,0
Our Lady of Lourdes Hospital,,8,0,8,26,7,0,7
Our Lady's Hospital Navan,,7,0,7,7,7,0,0
CHI at Crumlin,,7,0,7,3,7,0,0
CHI at Tallaght,,1,0,1,0,2,0,0
CHI at Temple Street,,3,0,3,0,0,0,5
MRH Mullingar,,5,2,7,21,2,1,0
MRH Portlaoise,,0,0,0,6,9,0,0
MRH Tullamore,,0,0,0,15,7,0,0
Naas General Hospital,,19,4,23,15,23,2,2
St. James's Hospital,,14,0,24,0,0,0,0
St. Luke's Radiation Oncology Network,,22,7,29,26,29,0,0
Tallaght University Hospital,,22,7,29,26,29,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,5,7,5,12,5,0,0
St Luke's General Hospital Kilkenny,,7,5,12,41,12,0,0
St. Michael's Hospital,,15,9,24,39,24,0,0
St. Vincent's University Hospital,,15,9,24,39,24,7,5
Tipperary University Hospital,,8,3,11,0,11,0,0
UH Waterford,,0,0,0,14,27,0,0
Wexford General Hospital,,2,5,7,34,3,0,0
Bantry General Hospital,,5,26,12,38,5,0,0
Cork University Hospital,,26,12,38,30,38,1,0
Mallow General Hospital,,4,17,4,21,4,0,0
Mercy University Hospital,,17,4,21,7,21,8,1
South Infirmary Victoria University Hospital,,4,10,0,7,4,0,0
UH Kerry,,10,0,7,25,25,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,4,12,38,50,4,0,0
UH Limerick,,12,38,50,37,50,1,0
Galway University Hospital,,12,4,22,43,43,0,8
Letterkenny University Hospital,,8,6,14,8,14,3,0
Mayo University Hospital,,4,9,13,12,13,6,0
Portiuncula University Hospital,,4,0,0,0,0,0,0
Roscommon University Hospital,,7,9,16,8,16,0,0
Sligo University Hospital,,7,9,16,8,16,5,0
Beaumont Hospital,,14,0,7,0,0,8,0
Cavan General Hospital,,8,0,8,0,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,24,0,24,25,24,0,0
Mater Misericordiae University Hospital,,24,0,24,25,24,0,0
National Orthopaedic Hospital Cappagh,,6,0,6,26,0,0,0
Our Lady of Lourdes Hospital,,6,0,6,26,0,0,1
Our Lady's Hospital Navan,,1,0,1,11,0,0,0
CHI at Crumlin,,0,0,0,0,4,0,0
CHI at Tallaght,,1,0,1,0,2,0,0
CHI at Temple Street,,1,0,1,0,0,0,2
MRH Mullingar,,2,0,2,13,1,0,0
MRH Portlaoise,,0,0,0,1,9,0,0
MRH Tullamore,,0,0,0,4,7,0,0
Naas General Hospital,,22,4,26,14,26,1,1
St. James's Hospital,,16,0,17,0,0,0,0
St. Luke's Radiation Oncology Network,,14,1,26,0,0,0,0
Tallaght University Hospital,,14,1,26,6,6,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,5,6,4,45,5,0,0
St Luke's General Hospital Kilkenny,,6,4,45,9,9,0,0
St. Michael's Hospital,,19,0,19,39,19,0,0
St. Vincent's University Hospital,,19,0,19,39,19,1,0
Tipperary University Hospital,,11,4,15,3,15,4,0
UH Waterford,,0,0,0,20,26,0,0
Wexford General Hospital,,4,8,12,32,12,2,0
Bantry General Hospital,,5,30,7,37,5,0,0
Cork University Hospital,,30,7,37,27,37,0,0
Mallow General Hospital,,4,20,4,24,4,0,0
Mercy University Hospital,,20,4,24,7,24,8,1
South Infirmary Victoria University Hospital,,4,12,0,12,4,0,0
UH Kerry,,12,0,12,7,12,2,1
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,4,19,34,53,4,0,0
UH Limerick,,19,34,53,50,53,7,0
Galway University Hospital,,3,1,4,22,40,0,0
Letterkenny University Hospital,,1,3,4,7,27,2,0
Mayo University Hospital,,7,10,17,11,17,5,0
Portiuncula University Hospital,,0,0,0,0,0,0,0
Roscommon University Hospital,,15,12,27,9,27,0,0
Sligo University Hospital,,15,12,27,9,27,5,0
Beaumont Hospital,,9,0,9,3,0,0,0
Cavan General Hospital,,0,0,0,10,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,15,0,8,0,0,0,0
Mater Misericordiae University Hospital,,15,0,8,0,0,0,0
National Orthopaedic Hospital Cappagh,,10,0,10,10,0,0,0
Our Lady of Lourdes Hospital,,10,0,10,10,0,0,1
Our Lady's Hospital Navan,,1,0,1,7,0,0,0
CHI at Crumlin,,5,0,5,0,5,0,0
CHI at Tallaght,,3,0,0,2,2,0,3
CHI at Temple Street,,3,0,3,2,0,0,2
MRH Mullingar,,2,0,2,12,0,0,0
MRH Portlaoise,,0,0,0,7,9,0,0
MRH Tullamore,,0,0,0,0,6,0,0
Naas General Hospital,,7,0,7,0,7,2,0
St. James's Hospital,,15,0,10,2,2,0,0
St. Luke's Radiation Oncology Network,,5,0,5,16,0,0,0
Tallaght University Hospital,,5,0,5,16,0,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,5,0,0,0,5,0,0
St Luke's General Hospital Kilkenny,,0,0,0,7,12,0,0
St. Michael's Hospital,,17,0,17,39,17,0,0
St. Vincent's University Hospital,,17,0,17,39,17,1,0
Tipperary University Hospital,,5,2,7,2,7,5,0
UH Waterford,,0,0,0,2,25,0,0
Wexford General Hospital,,2,5,7,19,9,2,0
Bantry General Hospital,,5,8,0,8,5,0,0
Cork University Hospital,,8,0,8,14,0,0,0
Mallow General Hospital,,4,6,0,6,4,0,0
Mercy University Hospital,,6,0,6,7,6,1,0
South Infirmary Victoria University Hospital,,4,0,0,0,4,0,0
UH Kerry,,0,0,0,10,22,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,6,23,29,26,29,0,0
UH Limerick,,6,23,29,26,29,0,0
Galway University Hospital,,1,0,1,19,39,0,0
Letterkenny University Hospital,,3,3,6,0,26,3,0
Mayo University Hospital,,6,9,15,10,15,5,0
Portiuncula University Hospital,,1,0,1,0,0,0,0
Roscommon University Hospital,,4,1,5,9,0,0,0
Sligo University Hospital,,4,1,5,9,26,0,0
Beaumont Hospital,2024-12-01,4,0,4,12,0,0,8
Cavan General Hospital,2024-12-01,8,0,14,0,0,0,0
Connolly Hospital,2024-12-01,0,0,0,0,0,0,0
Louth County Hospital,2024-12-01,19,0,19,15,19,0,0
Mater Misericordiae University Hospital,2024-12-01,19,0,19,15,19,0,0
National Orthopaedic Hospital Cappagh,2024-12-01,16,0,23,0,0,0,0
Our Lady of Lourdes Hospital,2024-12-01,16,0,23,0,0,3,0
Our Lady's Hospital Navan,2024-12-01,3,0,3,9,0,0,0
CHI at Crumlin,2024-12-01,5,0,5,0,5,0,0
CHI at Tallaght,2024-12-01,5,2,7,0,7,0,0
CHI at Temple Street,2024-12-01,6,0,2,0,12,12,0
MRH Mullingar,2024-12-01,12,0,12,19,12,1,0
MRH Portlaoise,2024-12-01,0,0,0,7,9,0,0
MRH Tullamore,2024-12-01,0,0,0,0,6,0,0
Naas General Hospital,2024-12-01,3,3,6,4,6,0,0
St. James's Hospital,2024-12-01,22,0,22,25,22,0,0
St. Luke's Radiation Oncology Network,2024-12-01,12,0,16,0,0,0,0
Tallaght University Hospital,2024-12-01,12,0,16,2,2,0,0
National Rehabilitation Hospital,2024-12-01,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-12-01,5,0,0,0,5,0,0
St Luke's General Hospital Kilkenny,2024-12-01,0,0,0,20,12,0,0
St. Michael's Hospital,2024-12-01,29,0,29,48,29,0,0
St. Vincent's University Hospital,2024-12-01,29,0,29,48,29,6,1
Tipperary University Hospital,2024-12-01,10,5,15,5,15,5,0
UH Waterford,2024-12-01,0,0,0,7,25,0,0
Wexford General Hospital,2024-12-01,6,5,28,9,9,0,0
Bantry General Hospital,2024-12-01,5,20,1,21,5,0,0
Cork University Hospital,2024-12-01,20,1,21,26,21,0,0
Mallow General Hospital,2024-12-01,4,10,4,14,4,0,0
Mercy University Hospital,2024-12-01,10,4,14,8,14,1,0
South Infirmary Victoria University Hospital,2024-12-01,4,9,0,9,4,0,0
UH Kerry,2024-12-01,9,0,9,22,22,0,0
Ennis Hospital,2024-12-01,0,0,0,0,0,0,0
Nenagh Hospital,2024-12-01,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-12-01,11,32,43,31,43,0,0
UH Limerick,2024-12-01,11,32,43,31,43,0,0
Galway University Hospital,2024-12-01,8,0,8,22,39,0,0
Letterkenny University Hospital,2024-12-01,6,3,1,26,26,0,6
Mayo University Hospital,2024-12-01,6,13,19,12,19,10,0
Portiuncula University Hospital,2024-12-01,0,0,0,0,0,0,0
Roscommon University Hospital,2024-12-01,6,4,13,0,0,0,0
Sligo University Hospital,2024-12-01,6,4,13,26,26,0,0
Beaumont Hospital,2024-12-02,20,0,20,13,20,0,9
Cavan General Hospital,2024-12-02,9,0,10,1,1,6,0
Connolly Hospital,2024-12-02,6,0,6,1,0,0,0
Louth County Hospital,2024-12-02,31,0,31,27,31,0,0
Mater Misericordiae University Hospital,2024-12-02,31,0,31,27,31,2,0
National Orthopaedic Hospital Cappagh,2024-12-02,18,5,23,35,23,0,0
Our Lady of Lourdes Hospital,2024-12-02,18,5,23,35,23,2,6
Our Lady's Hospital Navan,2024-12-02,6,0,6,10,6,0,0
CHI at Crumlin,2024-12-02,3,0,0,4,4,0,3
CHI at Tallaght,2024-12-02,3,0,6,2,2,0,7
CHI at Temple Street,2024-12-02,7,0,7,7,7,0,6
MRH Mullingar,2024-12-02,6,5,23,1,1,0,0
MRH Portlaoise,2024-12-02,0,0,0,6,9,0,0
MRH Tullamore,2024-12-02,0,0,0,11,6,0,0
Naas General Hospital,2024-12-02,12,4,16,15,16,1,3
St. James's Hospital,2024-12-02,22,0,22,33,22,1,0
St. Luke's Radiation Oncology Network,2024-12-02,14,0,26,0,0,0,0
Tallaght University Hospital,2024-12-02,14,0,26,2,2,0,0
National Rehabilitation Hospital,2024-12-02,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-12-02,5,4,1,5,5,0,0
St Luke's General Hospital Kilkenny,2024-12-02,4,1,5,27,12,0,0
St. Michael's Hospital,2024-12-02,28,0,28,54,28,0,0
St. Vincent's University Hospital,2024-12-02,28,0,28,54,28,12,5
Tipperary University Hospital,2024-12-02,17,15,32,21,32,14,0
UH Waterford,2024-12-02,0,0,0,11,25,0,0
Wexford General Hospital,2024-12-02,11,7,18,31,18,6,0
Bantry General Hospital,2024-12-02,5,27,3,30,5,0,0
Cork University Hospital,2024-12-02,27,3,30,25,30,3,0
Mallow General Hospital,2024-12-02,4,14,6,20,4,0,0
